,job_title,company_name,location,job_kind,skills
31,ERP Developer & Implementer,Mass,"New Cairo, Cairo, Egypt ",Part Time,Part TimeExperienced · 4 - 6 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Python · ERP · Software Development · Database · Communication · Information Technology (IT) · Telecom Engineering · Computer Science
32,Front End Developer,Dafater,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · OOP · JavaScript · Computer Science · Information Technology (IT) · Programming · Software Development · Vue
33,Social Media Listening Analyst (SMMA),Confidential,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Analysis · Analytics · Digital Marketing · Marketing · Social Media · media · Data visualization
34,Application Administrator,Egypt University of Informatics (EUI),"New Capital, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · AWS · Computer Science · Information Technology (IT) · Communication · JavaScript · ERP · Python
35,Software Tester,Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation · Information Technology (IT) · Science · Design · Quality Control · Software
36,Senior Odoo Developer,Peerless,"Mohandessin, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · PostgreSQL · jQuery · JavaScript · XML · HTML · Odoo Development · odoo migration
37,Linux System Administrator,OpenCode,"Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Telecommunication · MNOs · VAS · SS7 · VXML · ISUP · MAP
38,AWS Developer,Collars HR,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Python · Software Development · SQL · JSON · REST · XML
39,Segmentations & Data Mining Senior Specialist,Etisalat Egypt,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 4 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Data · Data Mining · Computer Science · Information Technology (IT) · Python · Machine Learning · Power BI
40,Odoo Developer - Kuwait,Furdtk,"Kuwait City, Kuwait ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · API · Odoo · Linux · Python · Computer Science · Design · HTML
41,DevOps Lead,Unifonic,"Cairo, Egypt ",Full Time,Full TimeWork From HomeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · DevOps · Kubernetes · AWS · CI/CD · Jenkins · Terraform · Agile
42,Senior Data Scientist,Wakeb Data,"Mohandessin, Giza, Egypt ",Work From Home,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · data scientist · Computer Science · SQL · Software Development · Data Science · Information Technology (IT) · Algorithms · Python
43,PHP Backend Developer,Restart Technology,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · laravel · Git · REST · Backend · MySQL · PHP
44,Junior Cloud Native & Infrastructure,BBI-Consultancy,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · Docker · Python · MySQL
45,Devops Engineer,RMG,"Riyadh, Saudi Arabia ",Freelance / Project,Freelance / ProjectExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · DevOps · Information Technology (IT) · AWS · Azure · Bash · Cloud · Computer Science
46,Ruby ON Rails Developer,Capella Solutions,"Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby · Rails · coding · Ruby on Rails · Software Development · Computer Engineering · Computer Science · English
47,Odoo Developer,Royal Herbs ,"Haram, Giza, Egypt ",Work From Home,Full TimeExperienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Database · Engineering · Odoo · Python · Software
48,DevOps Engineer,Luftborn,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Azure · DevOps · Network Security · AWS · Elasticsearch · Bash Scripting · Python Scripting
49,Senior Computer Vision Engineer,Atomica,"Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Mathematics · Software Development · Software Engineering · C++ · Git · Research · computer
50,Software Automation Testing Engineer,Confidential,"Maadi, Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation Testing · ISTQB · Testing · Information Technology (IT) · English · Quality Assurance
51,Linux System Administrator,Softxpert Incorporation ,"Alexandria, Egypt ",Work From Home,Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science
52,Data Analytics Engineer,Dar Al Handasah,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · sql · PostgreSQL · Python · BI · Linux · Database · Thingsboard · IOT
53,Backend Developer,Dar Al Handasah,"Smart Village, Giza, Egypt ",Work From Home,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · .Net · SQL · JavaScript · VB.net · Power BI · Azure · Thingsboard
54,Senior Machine learning Engineer,Botit,"Abdeen, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Machine Learning · Python · NLP · Software · Research · Git · Algorithms · Statistics
55,Embedded Linux Software Engineer,Centro CDX,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Python · Linux · Information Technology (IT) · Agile · Git
56,Odoo Developer,Al Aliaa ,"Mohandessin, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · JavaScript · Computer Science · Information Technology (IT) · PostgreSQL · HTML · Python · CSS
57,Senior Software Engineer - Backend (Remotely),SSC Egypt,"Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · coding · Computer Science · Java · JavaScript · Python · Software Development · Jenkins · MongoDB
58,Senior Odoo Developer - Cairo,etmana,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Odoo Development · Computer Engineering · Computer Science · Odoo Framework · Python · Linux · OpenERP
59,Senior Computer Vision Engineer,wobot.ai,"New Delhi, India ",Full Time,Full TimeWork From HomeSenior Management · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · TensorFlow · Python · PyTorch · CNN · yolo · Computer Vision · Deep Learning · Video Intelligence
60,UI Developer,NOK for Human Capital Solutions,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Angular Js · Python · oracle · SQL · Spring Boot · Computer Science · Angular · Information Technology (IT)
61,AI/ML (Artificial Intelligence/Machine Learning) Lead,SURE International Technology,"Cairo, Egypt ",Full Time,Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · Python · Artificial Intelligence · AI · Machine Learning · Engineering · Azure
62,DevOps Engineer/Senior Engineer,ITS ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Docker · Engineering · Git · Information Technology (IT) · Java · JavaScript · Kubernetes
63,Devops Engineer,Kashier Payment Solutions,"Zamalek, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Software Development · Python · Agile · AWS · Automation
64,DevOps Senior Engineer,ITS ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Agile · Python · Kubernetes · Docker · Computer Science · Information Technology (IT)
